,LDA_thema_dominant,Jahr.Monat,Anzahl,Prozent
0,1,2022-01,2,12.5
1,1,2022-03,1,10.0
2,1,2022-04,1,11.11111111111111
3,1,2022-09,1,8.333333333333332
4,1,2022-10,6,26.08695652173913
5,1,2023-01,3,5.660377358490567
6,1,2023-02,3,4.285714285714286
7,1,2023-03,8,6.504065040650407
8,1,2023-04,4,3.6036036036036037
9,1,2023-05,5,3.787878787878788
10,1,2023-06,8,8.791208791208792
11,1,2023-07,9,9.375
12,1,2023-08,4,6.153846153846154
13,1,2023-09,15,14.285714285714285
14,1,2023-10,16,14.678899082568808
15,1,2023-11,10,5.05050505050505
16,1,2023-12,5,4.854368932038835
17,1,2024-01,18,11.688311688311687
18,1,2024-02,22,13.664596273291925
19,1,2024-03,20,14.925373134328357
20,1,2024-04,37,22.5609756097561
21,2,2022-12,1,4.0
22,2,2023-02,1,1.4285714285714286
23,2,2023-03,3,2.4390243902439024
24,2,2023-04,6,5.405405405405405
25,2,2023-05,1,0.7575757575757576
26,2,2023-07,1,1.0416666666666665
27,2,2023-11,44,22.22222222222222
28,2,2023-12,2,1.9417475728155338
29,2,2024-03,11,8.208955223880597
30,2,2024-04,1,0.6097560975609756
31,4,2023-01,4,7.547169811320755
32,4,2023-02,15,21.428571428571427
33,4,2023-03,20,16.260162601626014
34,4,2023-04,4,3.6036036036036037
35,4,2023-05,11,8.333333333333332
36,4,2023-06,2,2.197802197802198
37,4,2023-07,12,12.5
38,4,2023-08,2,3.076923076923077
39,4,2023-09,7,6.666666666666667
40,4,2023-10,2,1.834862385321101
41,4,2023-11,8,4.040404040404041
42,4,2023-12,11,10.679611650485436
43,4,2024-01,9,5.844155844155844
44,4,2024-02,4,2.484472049689441
45,4,2024-03,5,3.731343283582089
46,4,2024-04,9,5.487804878048781
47,5,2021-12,15,78.94736842105263
48,5,2022-01,5,31.25
49,5,2022-02,5,83.33333333333334
50,5,2022-03,6,60.0
51,5,2022-04,6,66.66666666666666
52,5,2022-05,9,81.81818181818183
53,5,2022-06,11,91.66666666666666
54,5,2022-07,13,81.25
55,5,2022-08,6,85.71428571428571
56,5,2022-09,7,58.333333333333336
57,5,2022-10,15,65.21739130434783
58,5,2022-11,12,85.71428571428571
59,5,2022-12,21,84.0
60,5,2023-01,40,75.47169811320755
61,5,2023-02,42,60.0
62,5,2023-03,76,61.78861788617886
63,5,2023-04,61,54.95495495495496
64,5,2023-05,79,59.84848484848485
65,5,2023-06,54,59.34065934065934
66,5,2023-07,52,54.166666666666664
67,5,2023-08,36,55.38461538461539
68,5,2023-09,60,57.14285714285714
69,5,2023-10,46,42.201834862385326
70,5,2023-11,75,37.878787878787875
71,5,2023-12,52,50.48543689320388
72,5,2024-01,83,53.896103896103895
73,5,2024-02,77,47.82608695652174
74,5,2024-03,57,42.53731343283582
75,5,2024-04,80,48.78048780487805
76,8,2021-12,1,5.263157894736842
77,8,2022-05,1,9.090909090909092
78,8,2022-08,1,14.285714285714285
79,8,2022-09,1,8.333333333333332
80,8,2022-10,1,4.3478260869565215
81,8,2023-01,3,5.660377358490567
82,8,2023-02,2,2.857142857142857
83,8,2023-03,4,3.2520325203252036
84,8,2023-04,25,22.52252252252252
85,8,2023-05,14,10.606060606060606
86,8,2023-06,17,18.681318681318682
87,8,2023-07,11,11.458333333333332
88,8,2023-08,6,9.230769230769232
89,8,2023-09,9,8.571428571428571
90,8,2023-10,14,12.844036697247708
91,8,2023-11,30,15.151515151515152
92,8,2023-12,18,17.475728155339805
93,8,2024-01,18,11.688311688311687
94,8,2024-02,28,17.391304347826086
95,8,2024-03,20,14.925373134328357
96,8,2024-04,11,6.707317073170732
97,9,2021-12,3,15.789473684210526
98,9,2022-01,8,50.0
99,9,2022-02,1,16.666666666666664
100,9,2022-03,3,30.0
101,9,2022-04,2,22.22222222222222
102,9,2022-05,1,9.090909090909092
103,9,2022-06,1,8.333333333333332
104,9,2022-07,2,12.5
105,9,2022-09,3,25.0
106,9,2022-10,1,4.3478260869565215
107,9,2022-11,2,14.285714285714285
108,9,2022-12,3,12.0
109,9,2023-01,3,5.660377358490567
110,9,2023-02,5,7.142857142857142
111,9,2023-03,11,8.94308943089431
112,9,2023-04,8,7.207207207207207
113,9,2023-05,16,12.121212121212121
114,9,2023-06,9,9.89010989010989
115,9,2023-07,10,10.416666666666668
116,9,2023-08,13,20.0
117,9,2023-09,11,10.476190476190476
118,9,2023-10,28,25.688073394495415
119,9,2023-11,20,10.1010101010101
120,9,2023-12,9,8.737864077669903
121,9,2024-01,22,14.285714285714285
122,9,2024-02,21,13.043478260869565
123,9,2024-03,18,13.432835820895523
124,9,2024-04,22,13.414634146341465
125,11,2022-01,1,6.25
126,11,2022-07,1,6.25
127,11,2023-02,1,1.4285714285714286
128,11,2023-03,1,0.8130081300813009
129,11,2023-06,1,1.098901098901099
130,11,2023-08,4,6.153846153846154
131,11,2023-09,3,2.857142857142857
132,11,2023-10,3,2.7522935779816518
133,11,2023-11,10,5.05050505050505
134,11,2023-12,6,5.825242718446602
135,11,2024-01,3,1.948051948051948
136,11,2024-02,9,5.590062111801243
137,11,2024-03,3,2.2388059701492535
138,11,2024-04,3,1.8292682926829267
139,13,2023-02,1,1.4285714285714286
140,13,2023-04,3,2.7027027027027026
141,13,2023-05,6,4.545454545454546
142,13,2023-07,1,1.0416666666666665
143,13,2023-11,1,0.5050505050505051
144,13,2024-01,1,0.6493506493506493
145,13,2024-04,1,0.6097560975609756
